City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mount Gambier,AU,70.68,Clouds,-37.8333,140.7667,The Old Mount Gambier Gaol
3,Imbituba,BR,72.55,Rain,-28.24,-48.6703,Silvestre Praia Hotel
9,Rikitea,PF,78.75,Rain,-23.1203,-134.9692,Chez Bianca & Benoit
10,Sao Jose Da Coroa Grande,BR,77.83,Clear,-8.8978,-35.1478,Hotel do Sol
16,Mineiros,BR,68.74,Clouds,-17.5694,-52.5511,Hotel Dallas
17,Cape Town,ZA,68.38,Clear,-33.9258,18.4232,Townhouse Hotel
19,Chilca,PE,71.46,Clouds,-12.5211,-76.7372,Hotel Benvenuto
22,Arrecife,ES,57.18,Clear,28.963,-13.5477,Hostal San Gines
24,Nabire,ID,77.95,Clouds,-3.3667,135.4833,Hotel Anggrek
39,Sao Felix Do Xingu,BR,71.28,Clouds,-6.6447,-51.995,Hotel Terraço
42,Mount Pleasant,US,61.09,Mist,32.7941,-79.8626,Old Village Post House
46,Mahebourg,MU,77.25,Clouds,-20.4081,57.7,Grand Bel Air
48,Bodden Town,KY,78.93,Clouds,19.2833,-81.25,Turtle Nest Inn
52,Catalina,US,60.84,Clear,32.5056,-110.9211,Catalina Inn
58,San Juan,AR,77.38,Clouds,-31.5375,-68.5364,Hotel San Francisco
61,Touros,BR,79.63,Clouds,-5.1989,-35.4608,Pousada Atlântico
62,Hilo,US,72.28,Rain,19.7297,-155.09,Dolphin Bay Hotel
63,Coquimbo,CL,62.33,Clear,-29.9533,-71.3436,Hotel Iberia
64,Puerto Ayora,EC,77.56,Clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
70,Makakilo City,US,71.92,Rain,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
73,Dunedin,NZ,68.2,Clouds,-45.8742,170.5036,Scenic Hotel Dunedin City
77,Esperance,AU,76.69,Clear,-33.8667,121.9,Hospitality
78,Port Lincoln,AU,66.94,Clouds,-34.7333,135.8667,Boston Hotel
84,Atuona,PF,79.11,Rain,-9.8,-139.0333,Pearl Resort
85,Kahului,US,74.84,Rain,20.8947,-156.47,Maui Seaside Hotel
87,Hobart,AU,77.05,Clouds,-42.8794,147.3294,Vibe Hotel Hobart
92,Sechura,PE,74.59,Clear,-5.5569,-80.8222,Hospedaje Claritza
93,Ambilobe,MG,74.14,Clouds,-13.2,49.05,Hôtel National
95,Coxim,BR,75.25,Clouds,-18.5067,-54.76,Avendita
101,Kapaa,US,74.48,Clouds,22.0752,-159.319,Pono Kai Resort
108,Victoria,HK,61.95,Clear,22.2855,114.1577,四季酒店 Four Seasons Hotel
110,Isiro,CD,62.91,Clear,2.7739,27.616,Hôtel Magbetu
116,Hermanus,ZA,64.8,Clouds,-34.4187,19.2345,Aloe guest house
123,Hualmay,PE,71.96,Clouds,-11.0964,-77.6139,Hotel Mi Choacan
125,New Norfolk,AU,76.71,Clear,-42.7826,147.0587,Woodbridge on the Derwent
130,Manakara,MG,75.97,Clouds,-22.1333,48.0167,Hotel H1
138,Dong Hoi,VN,62.69,Clouds,17.4833,106.6,Nhà hàng Amor Palace
140,Tabuk,PH,67.84,Clouds,17.4189,121.4443,Davidson Hotel
148,Sao Joao Da Barra,BR,77.34,Clouds,-21.6403,-41.0511,Pousada Mediterrâneo
151,Castro,BR,61.68,Clouds,-24.7911,-50.0119,Hotel Central Palace
154,Alice Springs,AU,76.55,Clouds,-23.7,133.8833,Aurora Alice Springs
157,Mar Del Plata,AR,70.88,Clear,-38.0023,-57.5575,Nuevo Ostende
158,Moerai,PF,79.48,Clouds,-22.4333,-151.3333,Manotel Rurutu
160,Bintulu,MY,77.41,Clouds,3.1667,113.0333,Bakun Inn
161,Gopalganj,IN,58.78,Clouds,26.4667,84.4333,KAILASH
163,Meulaboh,ID,79.5,Clouds,4.1363,96.1285,Hotel Meuligou
164,Port Elizabeth,ZA,63.32,Clouds,-33.918,25.5701,Waterford Hotel
167,Bredasdorp,ZA,64.44,Clouds,-34.5322,20.0403,Victoria Hotel
170,Simao,CN,56.08,Clear,22.7886,100.9748,Marvelous Land Hotel
173,Sao Filipe,CV,70.41,Clouds,14.8961,-24.4956,Bela Vista
178,Lucea,JM,78.66,Clear,18.451,-78.1736,Blue Paloma Bed And Breakfast
183,San Cristobal,VE,68.18,Clouds,7.7669,-72.225,Terra Sur
186,Avarua,CK,73.45,Rain,-21.2078,-159.775,Paradise Inn
187,Mecca,SA,72.57,Clear,21.4267,39.8261,Rehab Al Marwa Hotel 1
190,Chuy,UY,70.59,Clouds,-33.6971,-53.4616,Alerces
192,Cidreira,BR,72.48,Clear,-30.1811,-50.2056,Hotel Castelo
197,Oriental,MX,56.21,Clear,19.3667,-97.6167,Hotel Oriental
198,Nzerekore,GN,70.21,Clouds,7.7562,-8.8179,Mission Catolique
200,Kindia,GN,67.91,Clouds,10.0569,-12.8658,Hôtel buffet de la gare de Kindia
202,Mkushi,ZM,61.27,Clouds,-13.6202,29.3939,Shalom Lodge
203,Hurghada,EG,68.04,Clear,27.2574,33.8129,Sea Horse Hotel
206,Souillac,MU,73.78,Clouds,-20.5167,57.5167,Hotel SkylineInn
