City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City_weather
0,Mount Gambier,AU,2023-01-30 01:50:05,-37.8333,140.7667,70.68,43,100,9.19,Clouds
1,Vaini,TO,2023-01-30 01:45:26,-21.2,-175.2,84.36,84,40,8.05,Clouds
2,Mataura,NZ,2023-01-30 01:42:12,-46.1927,168.8643,75.67,52,100,5.14,Clouds
3,Imbituba,BR,2023-01-30 01:48:22,-28.24,-48.6703,72.55,90,100,4.09,Rain
4,Ridgecrest,US,2023-01-30 01:48:11,35.6225,-117.6709,46.69,55,39,13.0,Clouds
5,Yellowknife,CA,2023-01-30 01:39:23,62.456,-114.3525,-19.44,69,20,12.66,Clouds
6,Talgar,KZ,2023-01-30 01:50:09,43.3027,77.2395,6.96,85,40,2.24,Mist
7,Kitimat,CA,2023-01-30 01:50:10,54.0524,-128.6534,26.98,64,44,1.79,Clouds
8,Sabang,ID,2023-01-30 01:50:11,5.8933,95.3214,80.1,82,61,14.92,Clouds
9,Rikitea,PF,2023-01-30 01:42:06,-23.1203,-134.9692,78.75,72,18,9.06,Rain
10,Sao Jose Da Coroa Grande,BR,2023-01-30 01:50:12,-8.8978,-35.1478,77.83,76,10,8.7,Clear
11,Englehart,CA,2023-01-30 01:48:36,47.8169,-79.8664,0.16,65,100,4.61,Clouds
12,Trairi,BR,2023-01-30 01:48:10,-3.2778,-39.2689,77.09,85,5,7.61,Clear
13,Road Town,VG,2023-01-30 01:46:14,18.4167,-64.6167,77.09,88,40,8.05,Clouds
14,Jamestown,US,2023-01-30 01:42:48,42.097,-79.2353,32.02,97,100,10.36,Mist
15,Butaritari,KI,2023-01-30 01:43:53,3.0707,172.7902,81.07,78,1,22.06,Clear
16,Mineiros,BR,2023-01-30 01:50:15,-17.5694,-52.5511,68.74,92,97,2.77,Clouds
17,Cape Town,ZA,2023-01-30 01:40:29,-33.9258,18.4232,68.38,64,0,15.01,Clear
18,Paamiut,GL,2023-01-30 01:50:16,61.994,-49.6678,20.8,70,100,12.53,Clouds
19,Chilca,PE,2023-01-30 01:50:17,-12.5211,-76.7372,71.46,86,100,5.53,Clouds
20,Fairbanks,US,2023-01-30 01:45:32,64.8378,-147.7164,30.22,92,75,3.44,Clouds
21,Nhulunbuy,AU,2023-01-30 01:50:18,-12.2333,136.7667,86.61,74,75,6.91,Clouds
22,Arrecife,ES,2023-01-30 01:50:19,28.963,-13.5477,57.18,62,0,8.05,Clear
23,Port Alfred,ZA,2023-01-30 01:45:24,-33.5906,26.891,60.19,85,69,8.95,Clouds
24,Nabire,ID,2023-01-30 01:50:20,-3.3667,135.4833,77.95,90,100,2.13,Clouds
25,Bekovo,RU,2023-01-30 01:50:21,52.4663,43.712,22.46,96,100,8.16,Snow
26,Busselton,AU,2023-01-30 01:43:31,-33.65,115.3333,80.11,40,43,9.69,Clouds
27,Hamilton,US,2023-01-30 01:50:22,39.1834,-84.5333,43.65,93,100,9.22,Mist
28,Lebu,CL,2023-01-30 01:46:47,-37.6167,-73.65,61.18,93,50,15.23,Clouds
29,East London,ZA,2023-01-30 01:50:23,-33.0153,27.9116,64.62,68,84,5.03,Clouds
30,Half Moon Bay,US,2023-01-30 01:47:14,37.4636,-122.4286,48.87,81,100,17.27,Clouds
31,Carbonia,IT,2023-01-30 01:50:24,39.1672,8.5222,41.65,76,13,4.07,Clouds
32,Alyangula,AU,2023-01-30 01:50:25,-13.8483,136.4192,85.21,71,91,7.11,Clouds
33,Tiksi,RU,2023-01-30 01:50:26,71.6872,128.8694,-35.64,98,84,5.41,Clouds
34,Revda,RU,2023-01-30 01:50:26,56.801,59.9303,10.31,92,86,9.44,Clouds
35,Ribeira Grande,PT,2023-01-30 01:42:05,38.5167,-28.7,55.78,86,87,7.0,Clouds
36,Amursk,RU,2023-01-30 01:50:28,50.2261,136.8994,-15.27,94,100,9.1,Clouds
37,Norman Wells,CA,2023-01-30 01:45:16,65.282,-126.8329,15.84,73,75,10.36,Snow
38,Bethel,US,2023-01-30 01:50:28,41.3712,-73.414,46.51,69,100,4.61,Clouds
39,Sao Felix Do Xingu,BR,2023-01-30 01:50:29,-6.6447,-51.995,71.28,96,33,1.74,Clouds
40,Weyburn,CA,2023-01-30 01:46:20,49.6668,-103.8511,-16.38,69,92,5.75,Clouds
41,Sabha,LY,2023-01-30 01:50:30,27.0377,14.4283,47.07,32,40,13.6,Clouds
42,Mount Pleasant,US,2023-01-30 01:50:31,32.7941,-79.8626,61.09,97,100,0.0,Mist
43,Saint-Francois,FR,2023-01-30 01:50:32,46.4154,3.9054,29.64,80,75,2.3,Clouds
44,Qaanaaq,GL,2023-01-30 01:41:58,77.484,-69.3632,-12.62,72,37,5.53,Clouds
45,Khatanga,RU,2023-01-30 01:50:33,71.9667,102.5,-43.26,100,70,2.66,Clouds
46,Mahebourg,MU,2023-01-30 01:39:42,-20.4081,57.7,77.25,94,20,3.44,Clouds
47,Oeiras Do Para,BR,2023-01-30 01:50:34,-2.0031,-49.8544,73.54,97,95,3.11,Clouds
